Disease,ICD10code
"Schizophrenia, schizotypal and delusional disorders",F20
"Schizophrenia, schizotypal and delusional disorders",F21
"Schizophrenia, schizotypal and delusional disorders",F22
"Schizophrenia, schizotypal and delusional disorders",F25
"Schizophrenia, schizotypal and delusional disorders",F28
"Schizophrenia, schizotypal and delusional disorders",F29
Bipolar affective disorder and mania,F30
Bipolar affective disorder and mania,F31
Depression,F32
Depression,F33
Anxiety disorders,F40
Anxiety disorders,F41
Obsessive-compulsive disorder,F42
"Postviral fatigue syndrome, neurasthenia and fibromyalgia",F480
Anorexia and bulimia nervosa,F500
Anorexia and bulimia nervosa,F501
Anorexia and bulimia nervosa,F502
Anorexia and bulimia nervosa,F503
Erectile dysfunction,F522
Personality disorders,F60
Personality disorders,F61
Intellectual disability,F70
Intellectual disability,F71
Intellectual disability,F72
Intellectual disability,F73
Intellectual disability,F78
Intellectual disability,F79
Intellectual disability,F819
Autism and Asperger's syndrome,F840
Autism and Asperger's syndrome,F841
Autism and Asperger's syndrome,F845
Hyperkinetic disorders,F90
Bacterial Diseases (excl TB),G00
Bacterial Diseases (excl TB),G01
Meningitis,G020
Meningitis,G021
Meningitis,G028
Infections of Other or unspecified organs,G041
Bacterial Diseases (excl TB),G042
Other nervous system infections,G048
Other nervous system infections,G049
Bacterial Diseases (excl TB),G050
Viral diseases (excl chronic hepatitis/HIV),G051
Other nervous system infections,G052
Other nervous system infections,G06
Other nervous system infections,G07
Other nervous system infections,G08
Motor neuron disease,G122
Parkinson's disease,G20
Essential tremor,G250
Dementia,G30
Alcohol Problems,G312
Multiple sclerosis,G35
Epilepsy,G40
Epilepsy,G41
Migraine,G43
Transient ischaemic attack,G450
Transient ischaemic attack,G451
Transient ischaemic attack,G452
Transient ischaemic attack,G453
Transient ischaemic attack,G454
Transient ischaemic attack,G458
Transient ischaemic attack,G459
Transient ischaemic attack,G460
Transient ischaemic attack,G461
Transient ischaemic attack,G462
Stroke NOS,G463
Stroke NOS,G464
Stroke NOS,G465
Stroke NOS,G466
Stroke NOS,G467
Stroke NOS,G468
Sleep apnoea,G473
Trigeminal neuralgia,G500
Bell's palsy,G510
Infections of Other or unspecified organs,G530
Infections of Other or unspecified organs,G531
Sarcoidosis,G532
Carpal tunnel syndrome,G560
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G561
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G562
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G563
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G564
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G568
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G569
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G57
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G58
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G59
Diabetic neurological complications,G590
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G60
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G61
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G62
Alcohol Problems,G621
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G63
Infections of Other or unspecified organs,G630
Diabetic neurological complications,G632
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G64
Myasthenia gravis,G700
Alcohol Problems,G721
Cerebral Palsy,G80
Disorders of autonomic nervous system,G90
Intracranial hypertension,G932
"Postviral fatigue syndrome, neurasthenia and fibromyalgia",G933
Infections of Other or unspecified organs,G940
Disorders of autonomic nervous system,G990
Disorders of autonomic nervous system,G991
Eye infections,H000
Ptosis of eyelid,H024
Hypo or hyperthyroidism,H062
Eye infections,H10
Eye infections,H131
Scleritis and episcleritis,H150
Scleritis and episcleritis,H151
Keratitis,H16
Scleritis and episcleritis,H190
Keratitis,H191
Keratitis,H192
Keratitis,H193
Anterior and Intermediate Uveitis,H200
Anterior and Intermediate Uveitis,H201
Anterior and Intermediate Uveitis,H202
Anterior and Intermediate Uveitis,H208
Anterior and Intermediate Uveitis,H209
Anterior and Intermediate Uveitis,H220
Anterior and Intermediate Uveitis,H221
Cataract,H25
Cataract,H260
Cataract,H262
Cataract,H264
Cataract,H268
Cataract,H269
Cataract,H28
Diabetes,H280
Posterior Uveitis,H300
Posterior Uveitis,H301
Anterior and Intermediate Uveitis,H302
Posterior Uveitis,H308
Posterior Uveitis,H309
Posterior Uveitis,H320
Retinal detachments and breaks,H330
Retinal detachments and breaks,H333
Retinal detachments and breaks,H334
Retinal detachments and breaks,H335
Retinal vascular occlusions,H34
Diabetic ophthalmic complications,H350
Diabetic ophthalmic complications,H352
Macular degeneration,H353
Diabetes,H360
Glaucoma,H401
Glaucoma,H402
Glaucoma,H409
Visual impairment and blindness,H54
Ear and Upper Respiratory Tract Infections,H60
Bacterial Diseases (excl TB),H620
Viral diseases (excl chronic hepatitis/HIV),H621
Ear and Upper Respiratory Tract Infections,H622
Ear and Upper Respiratory Tract Infections,H623
Ear and Upper Respiratory Tract Infections,H624
Ear and Upper Respiratory Tract Infections,H65
Ear and Upper Respiratory Tract Infections,H66
Ear and Upper Respiratory Tract Infections,H67
Bacterial Diseases (excl TB),H670
Viral diseases (excl chronic hepatitis/HIV),H671
Other or unspecified infectious organisms,H678
Ear and Upper Respiratory Tract Infections,H70
Ear and Upper Respiratory Tract Infections,H730
Ear and Upper Respiratory Tract Infections,H731
Ear and Upper Respiratory Tract Infections,H750
Meniere disease,H810
Hearing loss,H90
Hearing loss,H91
Tinnitus,H931
Bacterial Diseases (excl TB),I00
Bacterial Diseases (excl TB),I01
Bacterial Diseases (excl TB),I02
Bacterial Diseases (excl TB),I05
Bacterial Diseases (excl TB),I06
Bacterial Diseases (excl TB),I07
Multiple valve dz,I08
Bacterial Diseases (excl TB),I09
Hypertension,I10
Hypertension,I11
Heart failure,I110
Hypertension,I12
Hypertension,I13
Heart failure,I130
Heart failure,I132
Hypertension,I15
Unstable Angina,I200
Stable angina,I201
Stable angina,I208
Stable angina,I209
Myocardial infarction,I21
Myocardial infarction,I22
Myocardial infarction,I23
Myocardial infarction,I241
Coronary heart disease not otherwise specified,I250
Coronary heart disease not otherwise specified,I251
Myocardial infarction,I252
Coronary heart disease not otherwise specified,I253
Coronary heart disease not otherwise specified,I254
Coronary heart disease not otherwise specified,I255
Coronary heart disease not otherwise specified,I256
Coronary heart disease not otherwise specified,I258
Coronary heart disease not otherwise specified,I259
Pulmonary embolism,I26
Primary pulmonary hypertension,I270
Secondary pulmonary hypertension,I272
Infections of the Heart,I301
Pericardial effusion (noninflammatory),I313
Bacterial Diseases (excl TB),I320
Infections of the Heart,I321
Infections of the Heart,I330
Nonrheumatic mitral valve disorders,I34
Nonrheumatic aortic valve disorders,I35
Infections of the Heart,I400
Bacterial Diseases (excl TB),I410
Infections of the Heart,I411
Infections of the Heart,I412
Dilated cardiomyopathy,I420
Hypertrophic Cardiomyopathy,I421
Hypertrophic Cardiomyopathy,I422
Other Cardiomyopathy,I423
Other Cardiomyopathy,I425
Alcohol Problems,I426
Other Cardiomyopathy,I427
Other Cardiomyopathy,I428
Other Cardiomyopathy,I429
Other Cardiomyopathy,I43
Infections of the Heart,I430
"Atrioventricular block, first degree",I440
"Atrioventricular block, second degree",I441
"Atrioventricular block, complete",I442
Left bundle branch block,I447
Right bundle branch block,I451
Bifascicular block,I452
Trifascicular block,I453
Supraventricular tachycardia,I471
Ventricular tachycardia,I472
Atrial fibrillation,I48
Sick sinus syndrome,I495
Heart failure,I50
Subarachnoid haemorrhage,I60
Intracerebral haemorrhage,I61
Subdural haematoma - nontraumatic,I620
Ischaemic stroke,I630
Ischaemic stroke,I631
Ischaemic stroke,I632
Ischaemic stroke,I633
Ischaemic stroke,I634
Ischaemic stroke,I635
Venous thromboembolic disease (Excl PE),I636
Ischaemic stroke,I638
Ischaemic stroke,I639
Stroke NOS,I64
Transient ischaemic attack,I65
Transient ischaemic attack,I66
Venous thromboembolic disease (Excl PE),I676
Subarachnoid haemorrhage,I690
Intracerebral haemorrhage,I691
Ischaemic stroke,I693
Stroke NOS,I694
Abdominal aortic aneurysm,I714
Abdominal aortic aneurysm,I716
Abdominal aortic aneurysm,I719
Raynaud's syndrome,I730
Peripheral arterial disease,I731
Peripheral arterial disease,I738
Peripheral arterial disease,I739
Peripheral arterial disease,I743
Peripheral arterial disease,I744
Peripheral arterial disease,I745
Venous thromboembolic disease (Excl PE),I801
Venous thromboembolic disease (Excl PE),I802
Venous thromboembolic disease (Excl PE),I81
Venous thromboembolic disease (Excl PE),I820
Venous thromboembolic disease (Excl PE),I822
Venous thromboembolic disease (Excl PE),I823
Oesophageal varices,I85
Bacterial Diseases (excl TB),I980
Infections of the Heart,I981
Oesophageal varices,I982
Oesophageal varices,I983
Ear and Upper Respiratory Tract Infections,J00
Ear and Upper Respiratory Tract Infections,J01
Ear and Upper Respiratory Tract Infections,J02
Bacterial Diseases (excl TB),J020
Other or unspecified infectious organisms,J028
Other or unspecified infectious organisms,J029
Ear and Upper Respiratory Tract Infections,J03
Bacterial Diseases (excl TB),J030
Other or unspecified infectious organisms,J038
Other or unspecified infectious organisms,J039
Ear and Upper Respiratory Tract Infections,J04
Ear and Upper Respiratory Tract Infections,J05
Ear and Upper Respiratory Tract Infections,J06
Infections of Other or unspecified organs,J09
Viral diseases (excl chronic hepatitis/HIV),J10
Lower Respiratory Tract Infections,J100
Infections of Other or unspecified organs,J101
Infections of Other or unspecified organs,J108
Viral diseases (excl chronic hepatitis/HIV),J11
Lower Respiratory Tract Infections,J110
Infections of Other or unspecified organs,J111
Infections of Other or unspecified organs,J118
Lower Respiratory Tract Infections,J12
Bacterial Diseases (excl TB),J13
Bacterial Diseases (excl TB),J14
Bacterial Diseases (excl TB),J15
Lower Respiratory Tract Infections,J16
Bacterial Diseases (excl TB),J160
Other or unspecified infectious organisms,J168
Lower Respiratory Tract Infections,J17
Bacterial Diseases (excl TB),J170
Viral diseases (excl chronic hepatitis/HIV),J171
Mycoses,J172
Parasitic infections,J173
Other or unspecified infectious organisms,J178
Lower Respiratory Tract Infections,J18
Lower Respiratory Tract Infections,J20
Bacterial Diseases (excl TB),J200
Bacterial Diseases (excl TB),J201
Bacterial Diseases (excl TB),J202
Viral diseases (excl chronic hepatitis/HIV),J203
Viral diseases (excl chronic hepatitis/HIV),J204
Viral diseases (excl chronic hepatitis/HIV),J205
Viral diseases (excl chronic hepatitis/HIV),J206
Viral diseases (excl chronic hepatitis/HIV),J207
Other or unspecified infectious organisms,J208
Other or unspecified infectious organisms,J209
Lower Respiratory Tract Infections,J21
Viral diseases (excl chronic hepatitis/HIV),J210
Viral diseases (excl chronic hepatitis/HIV),J211
Viral diseases (excl chronic hepatitis/HIV),J218
Viral diseases (excl chronic hepatitis/HIV),J219
Lower Respiratory Tract Infections,J22
Allergic and chronic rhinitis,J301
Allergic and chronic rhinitis,J302
Allergic and chronic rhinitis,J303
Allergic and chronic rhinitis,J304
Allergic and chronic rhinitis,J310
Chronic sinusitis,J32
Nasal polyp,J33
Bacterial Diseases (excl TB),J340
Hypertrophy of nasal turbinates,J343
Bacterial Diseases (excl TB),J36
Infections of Other or unspecified organs,J37
Bacterial Diseases (excl TB),J390
Bacterial Diseases (excl TB),J391
COPD,J40
COPD,J41
COPD,J42
COPD,J43
COPD,J44
Lower Respiratory Tract Infections,J440
Lower Respiratory Tract Infections,J441
Asthma,J45
Asthma,J46
Bronchiectasis,J47
Asbestosis,J61
Lower Respiratory Tract Infections,J65
Aspiration pneumonitis,J690
Aspiration pneumonitis,J691
Aspiration pneumonitis,J698
Other interstitial pulmonary diseases with fibrosis,J841
Other or unspecified infectious organisms,J85
Lower Respiratory Tract Infections,J850
Lower Respiratory Tract Infections,J851
Lower Respiratory Tract Infections,J852
Infections of Other or unspecified organs,J853
Bacterial Diseases (excl TB),J86
Pleural effusion,J90
Pleural effusion,J91
Pleural plaque,J920
Pleural plaque,J929
Pneumothorax,J93
Respiratory failure,J96
Pulmonary collapse (excl pneumothorax),J981
Rheumatoid Arthritis,J990
Oesophagitis and oesophageal ulcer,K20
Gastro-oesophageal reflux disease,K21
Oesophagitis and oesophageal ulcer,K210
Oesophagitis and oesophageal ulcer,K221
Barrett's oesophagus,K227
Infections of the digestive system,K230
Infections of the digestive system,K231
Peptic ulcer disease,K25
Peritonitis,K251
Peritonitis,K252
Peritonitis,K255
Peritonitis,K256
Peptic ulcer disease,K26
Peritonitis,K261
Peritonitis,K262
Peritonitis,K265
Peritonitis,K266
Peptic ulcer disease,K27
Peritonitis,K271
Peritonitis,K272
Peritonitis,K275
Peritonitis,K276
Peptic ulcer disease,K28
Peritonitis,K281
Peritonitis,K282
Peritonitis,K285
Peritonitis,K286
Gastritis and duodenitis,K29
Alcohol Problems,K292
Benign neoplasm of stomach and duodenum,K317
Appendicitis,K35
Peritonitis,K352
Peritonitis,K353
Appendicitis,K36
Appendicitis,K37
Diverticular disease of intestine (acute and chronic),K382
Abdominal Hernia,K40
Abdominal Hernia,K41
Abdominal Hernia,K42
Abdominal Hernia,K43
Diaphragmatic hernia,K44
Abdominal Hernia,K45
Abdominal Hernia,K46
Crohn's disease,K50
Ulcerative colitis,K51
Angiodysplasia of colon,K552
Volvulus,K562
Diverticular disease of intestine (acute and chronic),K57
Peritonitis,K570
Peritonitis,K572
Peritonitis,K574
Peritonitis,K578
Irritable bowel syndrome,K58
Anal fissure,K600
Anal fissure,K601
Anal fissure,K602
Anorectal fistula,K603
Anorectal fistula,K604
Anorectal fistula,K605
Bacterial Diseases (excl TB),K61
"Benign neoplasm of colon, rectum, anus and anal canal",K620
"Benign neoplasm of colon, rectum, anus and anal canal",K621
Anorectal prolapse,K622
Anorectal prolapse,K623
Bacterial Diseases (excl TB),K630
Peritonitis,K631
"Benign neoplasm of colon, rectum, anus and anal canal",K635
Peritonitis,K65
Peritonitis,K67
Bacterial Diseases (excl TB),K670
Bacterial Diseases (excl TB),K671
Tuberculosis,K673
Alcohol Problems,K70
Fatty Liver,K700
"Liver fibrosis, sclerosis and cirrhosis",K701
"Liver fibrosis, sclerosis and cirrhosis",K702
"Liver fibrosis, sclerosis and cirrhosis",K703
Hepatic failure,K704
Hepatic failure,K711
"Liver fibrosis, sclerosis and cirrhosis",K717
Hepatic failure,K72
"Liver fibrosis, sclerosis and cirrhosis",K740
"Liver fibrosis, sclerosis and cirrhosis",K741
"Liver fibrosis, sclerosis and cirrhosis",K742
Autoimmune liver disease,K743
"Liver fibrosis, sclerosis and cirrhosis",K744
"Liver fibrosis, sclerosis and cirrhosis",K745
"Liver fibrosis, sclerosis and cirrhosis",K746
Infection of liver,K750
Autoimmune liver disease,K754
Fatty Liver,K758
Fatty Liver,K760
Hepatic failure,K762
Hepatic failure,K763
Portal hypertension,K766
Infection of liver,K770
Cholelithiasis,K80
Cholecystitis,K800
Cholecystitis,K801
Cholangitis,K803
Cholecystitis,K804
Cholecystitis,K81
Cholangitis,K830
Pancreatitis,K85
Alcohol Problems,K852
Pancreatitis,K860
Pancreatitis,K861
Pancreatitis,K863
Coeliac disease,K900
Infections of the digestive system,K930
Bacterial Diseases (excl TB),L00
Bacterial Diseases (excl TB),L01
Bacterial Diseases (excl TB),L02
Bacterial Diseases (excl TB),L03
Pilonidal cyst/sinus,L05
Bacterial Diseases (excl TB),L050
Infection of skin and subcutaneous tissues,L08
Other or unspecified infectious organisms,L080
Bacterial Diseases (excl TB),L081
Other or unspecified infectious organisms,L088
Other or unspecified infectious organisms,L089
Dermatitis (atopc/contact/other/unspecified),L20
Seborrheic dermatitis,L21
Dermatitis (atopc/contact/other/unspecified),L23
Dermatitis (atopc/contact/other/unspecified),L24
Dermatitis (atopc/contact/other/unspecified),L25
Dermatitis (atopc/contact/other/unspecified),L26
Dermatitis (atopc/contact/other/unspecified),L27
Dermatitis (atopc/contact/other/unspecified),L28
Dermatitis (atopc/contact/other/unspecified),L300
Dermatitis (atopc/contact/other/unspecified),L301
Dermatitis (atopc/contact/other/unspecified),L302
Infection of skin and subcutaneous tissues,L303
Dermatitis (atopc/contact/other/unspecified),L305
Dermatitis (atopc/contact/other/unspecified),L308
Dermatitis (atopc/contact/other/unspecified),L309
Psoriasis,L40
Psoriatic arthropathy,L405
Lichen planus,L43
Urticaria,L50
Actinic keratosis,L570
Alopecia areata,L63
Lichen planus,L661
Acne,L700
Acne,L701
Acne,L702
Acne,L703
Acne,L708
Acne,L709
Rosacea,L711
Rosacea,L718
Rosacea,L719
Hidradenitis suppurativa,L732
Vitiligo,L80
Lupus erythematosus (local and systemic),L93
Infection of bones and joints,M00
Bacterial Diseases (excl TB),M000
Bacterial Diseases (excl TB),M001
Bacterial Diseases (excl TB),M002
Bacterial Diseases (excl TB),M008
Bacterial Diseases (excl TB),M009
Infection of bones and joints,M01
Bacterial Diseases (excl TB),M010
Tuberculosis,M011
Bacterial Diseases (excl TB),M012
Bacterial Diseases (excl TB),M013
Viral diseases (excl chronic hepatitis/HIV),M014
Viral diseases (excl chronic hepatitis/HIV),M015
Mycoses,M016
Other or unspecified infectious organisms,M018
Postinfective and reactive arthropathies,M02
Postinfective and reactive arthropathies,M03
Bacterial Diseases (excl TB),M030
Bacterial Diseases (excl TB),M031
Rheumatoid Arthritis,M05
Rheumatoid Arthritis,M06
Psoriasis,M070
Psoriasis,M071
Psoriasis,M072
Psoriasis,M073
Enteropathic arthropathy,M074
Enteropathic arthropathy,M075
Enteropathic arthropathy,M076
Juvenile arthritis,M08
Juvenile arthritis,M09
Psoriasis,M090
Gout,M10
Gout,M140
Diabetes,M142
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),M146
Osteoarthritis (excl spine),M15
Osteoarthritis (excl spine),M16
Osteoarthritis (excl spine),M17
Osteoarthritis (excl spine),M18
Osteoarthritis (excl spine),M19
Secondary or other Thrombocytopaenia,M311
Giant Cell arteritis,M315
Giant Cell arteritis,M316
Lupus erythematosus (local and systemic),M32
Systemic sclerosis,M34
Sjogren's disease,M350
Polymyalgia Rheumatica,M353
Scoliosis,M41
Spondylolisthesis,M431
Ankylosing spondylitis,M45
Enthesopathies & synovial disorders,M460
Infection of bones and joints,M462
Infection of bones and joints,M463
Infection of bones and joints,M464
Infection of bones and joints,M465
Spondylosis,M471
Spondylosis,M472
Spondylosis,M478
Spondylosis,M479
Spinal stenosis,M480
Collapsed vertebra,M485
Infection of bones and joints,M490
Bacterial Diseases (excl TB),M491
Bacterial Diseases (excl TB),M492
Infection of bones and joints,M493
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),M494
Collapsed vertebra,M495
Intervertebral disc disorders,M50
Intervertebral disc disorders,M51
Infections of Other or unspecified organs,M600
Bacterial Diseases (excl TB),M630
Infections of Other or unspecified organs,M632
Sarcoidosis,M633
Bacterial Diseases (excl TB),M650
Bacterial Diseases (excl TB),M651
Enthesopathies & synovial disorders,M652
Enthesopathies & synovial disorders,M653
Enthesopathies & synovial disorders,M654
Enthesopathies & synovial disorders,M658
Enthesopathies & synovial disorders,M659
Enthesopathies & synovial disorders,M66
Bacterial Diseases (excl TB),M680
Enthesopathies & synovial disorders,M70
Bacterial Diseases (excl TB),M710
Bacterial Diseases (excl TB),M711
Enthesopathies & synovial disorders,M712
Enthesopathies & synovial disorders,M713
Enthesopathies & synovial disorders,M714
Enthesopathies & synovial disorders,M715
Enthesopathies & synovial disorders,M718
Enthesopathies & synovial disorders,M719
Fibromatoses,M720
Fibromatoses,M721
Bacterial Diseases (excl TB),M726
Bacterial Diseases (excl TB),M731
Enthesopathies & synovial disorders,M75
Enthesopathies & synovial disorders,M76
Enthesopathies & synovial disorders,M770
Enthesopathies & synovial disorders,M771
Enthesopathies & synovial disorders,M772
Enthesopathies & synovial disorders,M773
Enthesopathies & synovial disorders,M775
Enthesopathies & synovial disorders,M778
Enthesopathies & synovial disorders,M779
"Postviral fatigue syndrome, neurasthenia and fibromyalgia",M797
Osteoporosis,M80
Osteoporosis,M81
Osteoporosis,M82
Bacterial Diseases (excl TB),M86
Disorders of autonomic nervous system,M890
Viral diseases (excl chronic hepatitis/HIV),M896
Infection of bones and joints,M900
Bacterial Diseases (excl TB),M901
Bacterial Diseases (excl TB),M902
Glomerulonephritis,N000
Glomerulonephritis,N001
Glomerulonephritis,N002
Glomerulonephritis,N003
Glomerulonephritis,N004
Glomerulonephritis,N005
Glomerulonephritis,N006
Glomerulonephritis,N007
Glomerulonephritis,N008
Glomerulonephritis,N009
Glomerulonephritis,N010
Glomerulonephritis,N011
Glomerulonephritis,N012
Glomerulonephritis,N013
Glomerulonephritis,N014
Glomerulonephritis,N015
Glomerulonephritis,N017
Glomerulonephritis,N018
Glomerulonephritis,N019
Glomerulonephritis,N020
Glomerulonephritis,N021
Glomerulonephritis,N022
Glomerulonephritis,N023
Glomerulonephritis,N024
Glomerulonephritis,N025
Glomerulonephritis,N026
Glomerulonephritis,N027
Glomerulonephritis,N028
Glomerulonephritis,N029
Glomerulonephritis,N030
Glomerulonephritis,N031
Glomerulonephritis,N032
Glomerulonephritis,N033
Glomerulonephritis,N034
Glomerulonephritis,N035
Glomerulonephritis,N036
Glomerulonephritis,N037
Glomerulonephritis,N038
Glomerulonephritis,N039
Glomerulonephritis,N040
Glomerulonephritis,N041
Glomerulonephritis,N042
Glomerulonephritis,N043
Glomerulonephritis,N044
Glomerulonephritis,N045
Glomerulonephritis,N046
Glomerulonephritis,N047
Glomerulonephritis,N048
Glomerulonephritis,N049
Glomerulonephritis,N050
Glomerulonephritis,N051
Glomerulonephritis,N052
Glomerulonephritis,N053
Glomerulonephritis,N054
Glomerulonephritis,N055
Glomerulonephritis,N056
Glomerulonephritis,N057
Glomerulonephritis,N058
Glomerulonephritis,N059
Glomerulonephritis,N060
Glomerulonephritis,N061
Glomerulonephritis,N062
Glomerulonephritis,N063
Glomerulonephritis,N065
Glomerulonephritis,N066
Glomerulonephritis,N068
Glomerulonephritis,N069
Other or unspecified infectious organisms,N080
Diabetes,N083
Other or unspecified infectious organisms,N10
Tubulo-interstitial nephritis,N12
Obstructive and reflux uropathy,N130
Obstructive and reflux uropathy,N131
Obstructive and reflux uropathy,N132
Obstructive and reflux uropathy,N133
Obstructive and reflux uropathy,N134
Obstructive and reflux uropathy,N135
Bacterial Diseases (excl TB),N136
Obstructive and reflux uropathy,N137
Obstructive and reflux uropathy,N138
Obstructive and reflux uropathy,N139
Tubulo-interstitial nephritis,N140
Tubulo-interstitial nephritis,N141
Tubulo-interstitial nephritis,N142
Tubulo-interstitial nephritis,N143
Tubulo-interstitial nephritis,N144
Bacterial Diseases (excl TB),N151
Tubulo-interstitial nephritis,N158
Tubulo-interstitial nephritis,N159
Other or unspecified infectious organisms,N160
Tubulo-interstitial nephritis,N161
Tubulo-interstitial nephritis,N162
Tubulo-interstitial nephritis,N163
Tubulo-interstitial nephritis,N164
Tubulo-interstitial nephritis,N165
Tubulo-interstitial nephritis,N168
Acute Kidney Injury,N170
Acute Kidney Injury,N171
Acute Kidney Injury,N172
Acute Kidney Injury,N178
Acute Kidney Injury,N179
End stage renal disease,N185
Urolithiasis,N200
Urolithiasis,N201
Urolithiasis,N202
Urolithiasis,N209
Urolithiasis,N210
Urolithiasis,N211
Urolithiasis,N218
Urolithiasis,N219
Urolithiasis,N228
Urolithiasis,N23X
Bacterial Diseases (excl TB),N290
Other or unspecified infectious organisms,N291
Other or unspecified infectious organisms,N300
Non-acute cystitis,N301
Non-acute cystitis,N302
Other or unspecified infectious organisms,N308
Other or unspecified infectious organisms,N309
Neuromuscular dysfunction of bladder,N31
Tuberculosis,N330
Other or unspecified infectious organisms,N34
Urinary Tract Infections,N370
Bacterial Diseases (excl TB),N390
Urinary Incontinence,N393
Urinary Incontinence,N394
Hyperplasia of prostate,N40
Bacterial Diseases (excl TB),N410
Bacterial Diseases (excl TB),N412
Bacterial Diseases (excl TB),N413
Hydrocoele (incl infected),N430
Bacterial Diseases (excl TB),N431
Hydrocoele (incl infected),N432
Hydrocoele (incl infected),N433
Bacterial Diseases (excl TB),N45
Male infertility,N46
Infection of male genital system,N481
Erectile dysfunction,N484
Bacterial Diseases (excl TB),N70
Bacterial Diseases (excl TB),N71
Bacterial Diseases (excl TB),N72
Bacterial Diseases (excl TB),N73
Female pelvic inflammatory disease,N74
Tuberculosis,N740
Tuberculosis,N741
Bacterial Diseases (excl TB),N743
Bacterial Diseases (excl TB),N744
Bacterial Diseases (excl TB),N748
Bacterial Diseases (excl TB),N751
Infection of other or unspecified genitourinary system,N770
Infection of other or unspecified genitourinary system,N771
Endometriosis,N80
Female genital prolapse,N81
Benign neoplasm of ovary,N830
Benign neoplasm of ovary,N831
Benign neoplasm of ovary,N832
Benign neoplasm and polyp of uterus,N840
Endometrial hyperplasia and hypertrophy,N850
Endometrial hyperplasia and hypertrophy,N851
Endometrial hyperplasia and hypertrophy,N852
Carcinoma in situ_cervical,N87
Menorrhagia and polymenorrhoea,N920
Menorrhagia and polymenorrhoea,N921
Menorrhagia and polymenorrhoea,N922
Menorrhagia and polymenorrhoea,N924
Postcoital and contact bleeding,N930
Dysmenorrhoea,N944
Dysmenorrhoea,N945
Dysmenorrhoea,N946
Postmenopausal bleeding,N950
Female infertility,N97
Diabetes,O240
Diabetes,O241
Diabetes,O242
Diabetes,O243
Slow fetal growth or low birth weight,P050
Slow fetal growth or low birth weight,P051
Slow fetal growth or low birth weight,P059
Slow fetal growth or low birth weight,P070
Slow fetal growth or low birth weight,P071
Prematurity,P072
Prematurity,P073
High birth weight,P080
High birth weight,P081
Post-term infant,P082
Intrauterine hypoxia,P20
Respiratory distress of newborn,P22
Lower Respiratory Tract Infections,P23
Viral diseases (excl chronic hepatitis/HIV),P230
Bacterial Diseases (excl TB),P231
Bacterial Diseases (excl TB),P232
Bacterial Diseases (excl TB),P233
Bacterial Diseases (excl TB),P234
Bacterial Diseases (excl TB),P235
Bacterial Diseases (excl TB),P236
Other or unspecified infectious organisms,P238
Other or unspecified infectious organisms,P239
Intrauterine hypoxia,P240
Infections of Other or unspecified organs,P35
Bacterial Diseases (excl TB),P36
Infections of Other or unspecified organs,P37
Tuberculosis,P370
Parasitic infections,P371
Bacterial Diseases (excl TB),P372
Other or unspecified infectious organisms,P378
Other or unspecified infectious organisms,P379
Infection of skin and subcutaneous tissues,P38
Other or unspecified infectious organisms,P39
Infections of Other or unspecified organs,P390
Eye infections,P391
Infections of Other or unspecified organs,P392
Infection of skin and subcutaneous tissues,P394
Infections of Other or unspecified organs,P398
Infections of Other or unspecified organs,P399
Neonatal jaundice (excl haemolytic dz of the newborn),P58
Neonatal jaundice (excl haemolytic dz of the newborn),P59
Hydrocoele (incl infected),P835
Spina bifida,Q05
Cataract,Q120
Congenital malformations of cardiac septa,Q21
Patent ductus arteriosus,Q250
Bronchiectasis,Q334
Undescended testicle,Q53
Spina bifida,Q760
Down's syndrome,Q90
Splenomegaly,R161
Splenomegaly,R162
HIV,R75
Fracture of wrist,S525
Fracture of wrist,S526
Fracture of hip,S720
Fracture of hip,S721
Fracture of hip,S722
End stage renal disease,T824
End stage renal disease,T861
End stage renal disease,Y602
End stage renal disease,Y612
End stage renal disease,Y841
HIV,Z21
Hearing loss,Z453
Hearing loss,Z461
End stage renal disease,Z491
End stage renal disease,Z492
Alcohol Problems,Z502
Alcohol Problems,Z714
End stage renal disease,Z940
Hearing loss,Z974
End stage renal disease,Z992
